"Zone Code","UV0280002","UV0280012"
"60QA000001",30,1
"60QA000002",94,3
"60QA000003",45,2
"60QA000004",27,1
"60QA000005",32,0
"60QA000006",102,1
"60QA000007",31,0
"60QA000008",58,1
"60QA000009",96,0
"60QA000010",44,1
"60QA000011",37,1
"60QA000012",54,0
"60QA000013",134,2
"60QA000014",60,6
"60QA000015",48,2
"60QA000016",95,5
"60QA000017",63,8
"60QA000018",67,2
"60QA000019",44,3
"60QA000020",52,2
"60QA000021",42,2
"60QA000022",42,1
"60QA000023",66,3
"60QA000024",57,4
"60QA000025",20,1
"60QA000026",27,2
"60QA000027",54,2
"60QA000028",85,2
"60QA000029",40,3
"60QA000030",37,6
"60QA000031",41,2
"60QA000032",65,3
"60QA000033",98,2
"60QA000034",66,1
"60QA000035",104,1
"60QA000036",78,5
"60QA000037",38,2
"60QA000038",45,3
"60QA000039",103,3
"60QA000040",78,1
"60QA000041",57,3
"60QA000042",45,4
"60QA000043",56,6
"60QA000044",73,0
"60QA000045",53,1
"60QA000046",77,1
"60QA000047",75,2
"60QA000048",64,3
"60QA000049",76,2
"60QA000050",93,5
"60QA000051",33,2
"60QA000052",66,5
"60QA000053",61,2
"60QA000054",91,4
"60QA000055",87,1
"60QA000056",81,4
"60QA000057",55,0
"60QA000058",63,3
"60QA000059",51,0
"60QA000060",68,0
"60QA000061",55,1
"60QA000062",52,2
"60QA000063",50,3
"60QA000064",79,6
"60QA000065",82,3
"60QA000066",68,3
"60QA000067",61,2
"60QA000068",55,4
"60QA000069",70,5
"60QA000070",36,4
"60QA000071",55,1
"60QA000072",49,0
"60QA000073",52,4
"60QA000074",63,4
"60QA000075",49,0
"60QA000076",93,8
"60QA000077",44,4
"60QA000078",87,4
"60QA000079",30,8
"60QA000080",55,4
"60QA000081",36,2
"60QA000082",89,6
"60QA000083",64,1
"60QA000084",48,3
"60QA000085",56,1
"60QA000086",60,0
"60QA000087",83,2
"60QA000088",93,1
"60QA000089",56,4
"60QA000090",57,1
"60QA000091",56,5
"60QA000092",52,2
"60QA000093",63,7
"60QA000094",52,1
"60QA000095",48,3
"60QA000096",83,5
"60QA000097",63,5
"60QA000098",56,7
"60QA000099",63,4
"60QA000100",38,5
"60QA000101",41,3
"60QA000102",52,3
"60QA000103",52,3
"60QA000104",46,4
"60QA000105",37,1
"60QA000106",51,1
"60QA000107",52,7
"60QA000108",83,3
"60QA000109",53,3
"60QA000110",60,6
"60QA000111",54,4
"60QA000112",22,0
"60QA000113",27,0
"60QA000114",35,6
"60QA000115",23,1
"60QA000116",22,3
"60QA000117",53,2
"60QA000118",57,1
"60QA000119",45,6
"60QA000120",51,2
"60QA000121",57,3
"60QA000122",46,4
"60QA000123",65,6
"60QA000124",64,4
"60QA000125",50,7
"60QA000126",60,8
"60QA000127",63,7
"60QA000128",39,11
"60QA000129",56,6
"60QA000130",46,3
"60QA000131",79,16
"60QA000132",37,3
"60QA000133",49,1
"60QA000134",32,3
"60QA000135",25,3
"60QA000136",61,0
"60QA000137",62,1
"60QA000138",70,1
"60QA000139",75,0
"60QA000140",44,4
"60QA000141",32,2
"60QA000142",31,3
"60QA000143",47,1
"60QA000144",63,6
"60QA000145",53,7
"60QA000146",7,0
"60QA000147",42,1
"60QA000148",70,14
"60QA000149",37,5
"60QA000150",54,8
"60QA000151",89,2
"60QA000152",33,2
"60QA000153",53,2
"60QA000154",51,5
"60QA000155",31,1
"60QA000156",80,9
"60QA000157",44,4
"60QA000158",77,5
"60QA000159",60,4
"60QA000160",46,5
"60QA000161",51,5
"60QA000162",66,3
"60QA000163",50,5
"60QA000164",56,2
"60QA000165",62,1
"60QA000166",65,3
"60QA000167",80,4
"60QA000168",59,0
"60QA000169",60,0
"60QA000170",60,1
"60QA000171",3,0
"60QA000172",47,0
"60QA000173",57,1
"60QA000174",56,2
"60QA000175",81,3
"60QA000176",51,7
"60QA000177",62,2
"60QA000178",30,2
"60QA000179",40,0
"60QA000180",69,2
"60QA000181",44,3
"60QA000182",49,3
"60QA000183",57,3
"60QA000184",59,5
"60QA000185",61,2
"60QA000186",29,2
"60QA000187",40,2
"60QA000188",35,1
"60QA000189",50,0
"60QA000190",57,4
"60QA000191",74,0
"60QA000192",66,4
"60QA000193",34,2
"60QA000194",43,1
"60QA000195",46,0
"60QA000196",51,5
"60QA000197",63,3
"60QA000198",39,1
"60QA000199",43,0
"60QA000200",62,3
"60QA000201",51,4
"60QA000202",8,0
"60QA000203",68,8
"60QA000204",29,0
"60QA000205",27,1
"60QA000206",24,1
"60QA000207",30,0
"60QA000208",79,6
"60QA000209",60,5
"60QA000210",50,4
"60QA000211",59,2
"60QA000212",73,2
"60QA000213",79,3
"60QA000214",78,1
"60QA000215",50,2
"60QA000216",68,5
"60QA000217",64,3
"60QA000218",68,1
"60QA000219",64,1
"60QA000220",44,0
"60QA000221",73,1
"60QA000222",89,2
"60QA000223",129,3
"60QA000224",67,3
"60QA000225",56,1
"60QA000226",72,2
"60QA000227",66,0
"60QA000228",37,1
"60QA000229",58,2
"60QA000230",40,0
"60QA000231",52,2
"60QA000232",102,5
"60QA000233",103,3
"60QA000234",70,4
"60QA000235",65,4
"60QA000236",61,4
"60QA000237",54,0
"60QA000238",61,0
"60QA000239",47,1
"60QA000240",59,4
"60QA000241",48,4
"60QA000242",85,4
"60QA000243",52,1
"60QA000244",59,0
"60QA000245",42,4
"60QA000246",91,1
"60QA000247",50,2
"60QA000248",76,9
"60QA000249",46,2
"60QA000250",63,5
"60QA000251",40,4
"60QA000252",50,2
"60QA000253",65,5
"60QA000254",91,1
"60QA000255",90,1
"60QA000256",85,4
"60QA000257",60,0
"60QA000258",59,1
"60QA000259",52,2
"60QA000260",58,0
"60QA000261",125,3
"60QA000262",66,1
"60QA000263",61,3
"60QA000264",64,1
"60QA000265",81,2
"60QA000266",58,1
"60QA000267",61,1
"60QA000268",104,3
"60QA000269",88,2
"60QA000270",66,2
"60QA000271",63,2
"60QA000272",29,0
"60QA000273",37,1
"60QA000274",82,3
"60QA000275",73,5
"60QA000276",95,3
"60QA000277",67,2
"60QA000278",62,2
"60QA000279",69,2
"60QA000280",58,1
"60QA000281",71,4
"60QA000282",69,2
"60QA000283",60,1
"60QA000284",50,0
"60QA000285",36,0
"60QA000286",95,1
"60QA000287",96,4
"60QA000288",61,1
"60QA000289",44,1
"60QA000290",86,4
"60QA000291",65,1
"60QA000292",73,6
"60QA000293",55,6
"60QA000294",92,3
"60QA000295",65,0
"60QA000296",82,1
"60QA000297",54,0
"60QA000298",39,2
"60QA000299",58,0
"60QA000300",103,2
"60QA000301",1,0
"60QA000302",35,2
"60QA000303",99,2
"60QA000304",4,0
"60QA000305",42,1
"60QA000306",48,2
"60QA000307",36,1
"60QA000308",29,1
"60QA000309",99,0
"60QA000310",76,2
"60QA000311",73,4
"60QA000312",18,3
"60QA000313",53,5
"60QA000314",60,2
"60QA000315",52,3
"60QA000316",48,5
"60QA000317",45,1
"60QA000318",74,5
"60QA000319",99,0
"60QA000320",80,6
"60QA000321",85,3
"60QA000322",38,3
"60QA000323",43,0
"60QA000324",22,0
"60QA000325",53,2
"60QA000326",61,2
"60QA000327",57,2
"60QA000328",98,2
"60QA000329",77,4
"60QA000330",24,1
"60QA000331",49,4
"60QA000332",34,4
"60QA000333",29,1
"60QA000334",65,4
"60QA000335",66,4
"60QA000336",53,4
"60QA000337",66,0
"60QA000338",62,1
"60QA000339",83,4
"60QA000340",62,0
"60QA000341",49,0
"60QA000342",56,0
"60QA000343",49,0
"60QA000344",84,3
"60QA000345",53,1
"60QA000346",42,2
"60QA000347",43,2
"60QA000348",22,0
"60QA000349",38,2
"60QA000350",54,0
"60QA000351",64,2
"60QA000352",49,3
"60QA000353",49,0
"60QA000354",44,0
"60QA000355",42,4
"60QA000356",69,0
"60QA000357",98,0
"60QA000358",70,0
"60QA000359",85,0
"60QA000360",48,0
"60QA000361",36,0
"60QA000362",52,0
"60QA000363",72,0
"60QA000364",57,2
"60QA000365",49,1
"60QA000366",22,1
"60QA000367",39,2
"60QA000368",19,2
"60QA000369",52,1
"60QA000370",81,1
"60QA000371",56,1
"60QA000372",50,1
"60QA000373",47,2
"60QA000374",61,0
"60QA000375",39,1
"60QA000376",69,1
"60QA000377",67,1
"60QA000378",36,2
"60QA000379",77,2
"60QA000380",45,3
"60QA000381",56,1
"60QA000382",44,0
"60QA000383",62,1
"60QA000384",44,2
"60QA000385",64,1
"60QA000386",77,1
"60QA000387",56,2
"60QA000388",75,4
"60QA000389",55,3
"60QA000390",43,3
"60QA000391",107,5
"60QA000392",27,1
"60QA000393",61,3
"60QA000394",33,3
"60QA000395",94,3
"60QA000396",47,1
"60QA000397",54,1
"60QA000398",35,0
"60QA000399",46,0
"60QA000400",95,1
"60QA000401",83,3
"60QA000402",48,3
"60QA000403",60,0
"60QA000404",66,1
"60QA000405",77,1
"60QA000406",48,0
"60QA000407",83,3
"60QA000408",83,1
"60QA000409",82,3
"60QA000410",47,1
"60QA000411",35,0
"60QA000412",28,2
"60QA000413",24,2
"60QA000414",26,1
"60QA000415",15,2
"60QA000416",61,5
"60QA000417",22,4
"60QA000418",48,3
"60QA000419",64,5
"60QA000420",4,0
"60QA000421",47,0
"60QA000422",35,0
"60QA000423",42,0
"60QA000424",49,1
"60QA000425",46,3
"60QA000426",57,1
"60QA000427",84,1
"60QA000428",41,4
"60QA000429",79,5
"60QA000430",56,2
"60QA000431",70,2
"60QA000432",52,1
"60QA000433",81,3
"60QA000434",99,4
"60QA000435",34,0
"60QA000436",54,0
"60QA000437",85,1
"60QA000438",66,1
"60QA000439",66,0
"60QA000440",46,1
"60QA000441",66,2
"60QA000442",77,1
"60QA000443",55,2
"60QA000444",87,1
"60QA000445",63,3
"60QA000446",51,1
"60QA000447",59,1
"60QA000448",49,0
"60QA000449",51,0
"60QA000450",32,1
"60QA000451",29,4
"60QA000452",22,1
"60QA000453",34,1
"60QA000454",55,2
"60QA000455",53,1
"60QA000456",71,0
"60QA000457",70,3
"60QA000458",53,2
"60QA000459",30,2
"60QA000460",34,4
"60QA000461",71,1
"60QA000462",49,1
"60QA000463",50,3
"60QA000464",56,3
"60QA000465",30,1
"60QA000466",31,4
"60QA000467",11,0
"60QA000468",59,7
"60QA000469",25,3
"60QA000470",28,2
"60QA000471",48,3
"60QA000472",49,1
"60QA000473",44,1
