Zone ID,Zone name,l080001,l080020,l080115,l080134,l080172
01AAFA,Aldersgate                      ,1152,847,2,42,305
01AAFB,Aldgate                         ,0,0,0,0,0
01AAFC,Bassishaw                       ,0,0,0,0,0
01AAFD,Billingsgate                    ,0,0,0,0,0
01AAFE,Bishopsgate                     ,0,0,0,0,0
01AAFF,Bread Street                    ,0,0,0,0,0
01AAFG,Bridge                          ,0,0,0,0,0
01AAFH,Broad Street                    ,0,0,0,0,0
01AAFJ,Candlewick                      ,0,0,0,0,0
01AAFK,Castle Baynard                  ,0,0,0,0,0
01AAFL,Cheap                           ,0,0,0,0,0
01AAFM,Coleman Street                  ,0,0,0,0,0
01AAFN,Cordwainer                      ,0,0,0,0,0
01AAFP,Cornhill                        ,0,0,0,0,0
01AAFQ,Cripplegate                     ,1474,1073,2,69,401
01AAFR,Dowgate                         ,0,0,0,0,0
01AAFS,Farringdon Within               ,0,0,0,0,0
01AAFT,Farringdon Without              ,0,0,0,0,0
01AAFU,Langbourn                       ,0,0,0,0,0
01AAFW,Lime Street                     ,0,0,0,0,0
01AAFX,Portsoken                       ,0,0,0,0,0
01AAFY,Queenhithe                      ,0,0,0,0,0
01AAFZ,Tower                           ,0,0,0,0,0
01AAGA,Vintry                          ,0,0,0,0,0
01AAGB,Walbrook                        ,1256,884,7,64,372
01AASS,Shipping                        ,0,0,0,0,0
01ABFA,Adelaide                        ,7122,4177,45,448,2945
01ABFB,Belsize                         ,6974,4824,37,433,2150
01ABFC,Bloomsbury                      ,6081,3918,56,397,2163
01ABFD,Brunswick                       ,3637,2318,46,243,1319
01ABFE,Camden                          ,5792,3990,68,624,1802
01ABFF,Castlehaven                     ,4365,2697,41,453,1668
01ABFG,Caversham                       ,4882,2898,45,398,1984
01ABFH,Chalk Farm                      ,4336,2901,24,335,1435
01ABFJ,Fitzjohns                       ,4543,2966,15,252,1577
01ABFK,Fortune Green                   ,4400,2953,23,310,1447
01ABFL,Frognal                         ,4962,3031,22,216,1931
01ABFM,Gospel Oak                      ,4789,2769,57,412,2020
01ABFN,Grafton                         ,4619,2697,61,456,1922
01ABFP,Hampstead Town                  ,4341,2825,29,197,1516
01ABFQ,Highgate                        ,8597,5333,80,560,3264
01ABFR,Holborn                         ,4968,3015,36,472,1953
01ABFS,Kilburn                         ,7979,5344,61,869,2635
01ABFT,King's Cross                    ,5689,3498,82,768,2191
01ABFU,Priory                          ,5392,3073,59,550,2319
01ABFW,Regent's Park                   ,7148,4158,54,610,2990
01ABFX,St.John's                       ,4895,3265,45,441,1630
01ABFY,St.Pancras                      ,3804,2230,45,448,1574
01ABFZ,Somers Town                     ,5323,3008,66,553,2315
01ABGA,South End                       ,5100,3263,44,382,1837
01ABGB,Swiss Cottage                   ,8069,5365,51,602,2704
01ABGC,West End                        ,5079,3717,26,443,1362
01ABSS,Shipping                        ,0,0,0,0,0
01ACFA,Brownswood                      ,5710,3748,51,735,1962
01ACFB,Chatham                         ,6620,3877,80,871,2743
01ACFC,Clissold                        ,7165,4659,85,945,2506
01ACFD,Dalston                         ,6198,3902,63,811,2296
01ACFE,De Beauvoir                     ,6829,4253,72,860,2576
01ACFF,Eastdown                        ,6951,4287,113,1192,2664
01ACFG,Haggerston                      ,4671,2708,62,714,1963
01ACFH,Homerton                        ,4987,3375,73,673,1612
01ACFJ,Kings Park                      ,4997,3077,81,846,1920
01ACFK,Leabridge                       ,6801,4247,76,948,2554
01ACFL,Moorfields                      ,4654,2675,30,584,1979
01ACFM,New River                       ,7647,4119,91,1001,3528
01ACFN,North Defoe                     ,3961,2593,39,473,1368
01ACFP,Northfield                      ,6633,3831,86,862,2802
01ACFQ,Northwold                       ,6766,4286,116,997,2480
