"Zone Code","UV0280002","UV0280012"
"00AAFA0001",125,3
"00AAFA0002",65,0
"00AAFA0003",133,0
"00AAFA0004",199,6
"00AAFA0005",165,8
"00AAFA0006",144,3
"00AAFA0007",148,3
"00AAFA0008",105,3
"00AAFE0001",82,4
"00AAFQ0001",65,4
"00AAFQ0002",107,3
"00AAFQ0003",105,4
"00AAFQ0004",178,9
"00AAFQ0005",78,8
"00AAFQ0006",79,0
"00AAFQ0007",238,10
"00AAFQ0008",152,7
"00AAFQ0009",146,4
"00AAFQ0010",131,8
"00AAFQ0011",131,3
"00AAFQ0012",195,5
"00AAFQ0013",130,6
"00AAFQ0014",129,6
"00AAFS0001",111,0
"00AAFT0001",118,7
"00AAFT0002",144,9
"00AAFT0003",126,18
"00AAFT0004",111,4
"00AAFX0001",133,11
"00AAFX0002",92,8
"00AAFX0003",71,0
"00AAFX0004",161,37
"00AAFY0001",116,3
"00AAFY0002",112,8
"00AAFZ0001",119,3
"00AAGB0001",88,0
"00ABFX0001",127,14
"00ABFX0002",194,19
"00ABFX0003",146,12
"00ABFX0004",140,12
"00ABFX0005",161,9
"00ABFX0006",57,7
"00ABFX0007",116,16
"00ABFX0008",155,18
"00ABFX0009",131,11
"00ABFX0010",106,20
"00ABFX0011",149,16
"00ABFX0012",149,23
"00ABFX0013",146,15
"00ABFX0014",170,19
"00ABFX0015",141,8
"00ABFX0016",109,13
"00ABFX0017",176,11
"00ABFX0018",180,12
"00ABFX0019",201,13
"00ABFX0020",145,15
"00ABFX0021",101,9
"00ABFX0022",166,22
"00ABFX0023",128,8
"00ABFX0024",140,14
"00ABFX0025",100,10
"00ABFX0026",117,22
"00ABFX0027",145,13
"00ABFX0028",145,16
"00ABFX0029",136,7
"00ABFX0030",142,13
"00ABFX0031",157,8
"00ABFX0032",148,12
"00ABFX0033",118,12
"00ABFY0001",158,13
"00ABFY0002",132,7
"00ABFY0003",128,8
"00ABFY0004",118,8
"00ABFY0005",92,8
"00ABFY0006",114,5
"00ABFY0007",146,13
"00ABFY0008",122,10
"00ABFY0009",122,9
"00ABFY0010",142,5
"00ABFY0011",139,10
"00ABFY0012",145,16
"00ABFY0013",130,9
"00ABFY0014",141,16
"00ABFY0015",122,13
"00ABFY0016",129,8
"00ABFY0017",134,20
"00ABFY0018",94,11
"00ABFY0019",111,11
"00ABFY0020",156,8
"00ABFY0021",112,9
"00ABFY0022",118,5
"00ABFY0023",156,11
"00ABFY0024",134,9
"00ABFY0025",150,9
"00ABFY0026",160,18
"00ABFY0027",117,10
"00ABFY0028",118,8
"00ABFY0029",117,8
"00ABFY0030",35,3
"00ABFY0031",153,12
"00ABFZ0001",137,12
"00ABFZ0002",167,9
"00ABFZ0003",161,15
"00ABFZ0004",157,9
"00ABFZ0005",62,7
"00ABFZ0006",126,9
"00ABFZ0007",142,8
"00ABFZ0008",161,11
"00ABFZ0009",159,10
"00ABFZ0010",106,8
"00ABFZ0011",118,5
"00ABFZ0012",151,12
"00ABFZ0013",169,7
"00ABFZ0014",136,6
"00ABFZ0015",132,11
"00ABFZ0016",168,13
"00ABFZ0017",102,19
"00ABFZ0018",143,20
"00ABFZ0019",123,10
"00ABFZ0020",163,12
"00ABFZ0021",148,10
"00ABFZ0022",145,10
"00ABFZ0023",121,11
"00ABFZ0024",155,7
"00ABFZ0025",158,12
"00ABFZ0026",137,4
"00ABFZ0027",210,12
"00ABFZ0028",114,5
"00ABFZ0029",115,15
"00ABFZ0030",148,16
"00ABFZ0031",129,5
"00ABFZ0032",128,9
"00ABFZ0033",129,8
"00ABFZ0034",137,6
"00ABGA0001",165,11
"00ABGA0002",177,9
