"Zone Code","UV0280002","UV0280012"
"00NAMA0001",145,13
"00NAMA0002",99,12
"00NAMA0003",132,25
"00NAMA0004",150,13
"00NAMB0001",122,23
"00NAMB0002",112,17
"00NAMB0003",117,11
"00NAMB0004",98,7
"00NAMB0005",124,15
"00NAMC0001",89,8
"00NAMC0002",104,13
"00NAMC0003",104,6
"00NAMC0004",167,34
"00NAMD0001",114,15
"00NAMD0002",77,4
"00NAMD0003",76,4
"00NAMD0004",126,6
"00NAMD0005",126,11
"00NAMD0006",89,7
"00NAMD0007",79,4
"00NAMD0008",103,5
"00NAME0001",160,10
"00NAME0002",144,8
"00NAME0003",171,7
"00NAME0004",148,7
"00NAME0005",145,8
"00NAMF0001",133,5
"00NAMF0002",122,15
"00NAMF0003",117,14
"00NAMF0004",169,8
"00NAMF0005",156,5
"00NAMG0001",108,9
"00NAMG0002",167,9
"00NAMG0003",163,7
"00NAMG0004",176,5
"00NAMG0005",135,4
"00NAMH0001",196,12
"00NAMH0002",144,15
"00NAMH0003",121,4
"00NAMH0004",130,4
"00NAMH0005",107,17
"00NAMJ0001",90,7
"00NAMJ0002",77,5
"00NAMJ0003",224,12
"00NAMJ0004",130,6
"00NAMJ0005",83,10
"00NAMJ0006",105,0
"00NAMK0001",135,9
"00NAMK0002",136,10
"00NAMK0003",83,7
"00NAMK0004",128,9
"00NAML0001",132,6
"00NAML0002",177,9
"00NAML0003",114,3
"00NAML0004",152,5
"00NAML0005",96,10
"00NAMM0001",213,6
"00NAMM0002",108,8
"00NAMM0003",126,11
"00NAMM0004",146,9
"00NAMM0005",129,3
"00NAMM0006",163,9
"00NAMM0007",133,9
"00NAMN0001",128,6
"00NAMN0002",86,14
"00NAMN0003",143,7
"00NAMN0004",143,7
"00NAMN0005",148,3
"00NAMN0006",122,7
"00NAMP0001",239,7
"00NAMP0002",137,3
"00NAMP0003",156,7
"00NAMP0004",116,7
"00NAMP0005",72,6
"00NAMQ0001",105,14
"00NAMQ0002",99,13
"00NAMQ0003",129,13
"00NAMQ0004",111,14
"00NAMR0001",123,18
"00NAMR0002",91,17
"00NAMR0003",135,10
"00NAMR0004",120,8
"00NAMR0005",133,9
"00NAMS0001",92,18
"00NAMS0002",46,6
"00NAMS0003",78,13
"00NAMS0004",96,5
"00NAMS0005",104,8
"00NAMS0006",87,6
"00NAMS0007",54,7
"00NAMT0001",152,11
"00NAMT0002",75,4
"00NAMT0003",73,6
"00NAMT0004",113,4
"00NAMT0005",66,3
"00NAMT0006",95,6
"00NAMU0001",161,10
"00NAMU0002",175,13
"00NAMU0003",165,8
"00NAMU0004",127,5
"00NAMW0001",107,11
"00NAMW0002",117,14
"00NAMW0003",115,13
"00NAMW0004",132,10
"00NAMW0005",160,12
"00NAMW0006",135,15
"00NAMW0007",172,20
"00NAMX0001",195,17
"00NAMX0002",103,8
"00NAMX0003",134,6
"00NAMX0004",121,10
"00NAMX0005",115,13
"00NAMY0001",105,9
"00NAMY0002",158,11
"00NAMY0003",167,5
"00NAMY0004",150,16
"00NAMY0005",181,6
"00NAMY0006",137,13
