"censusYear","zone","Channel Islands","UK part not specified","Irish Republic","China","South Africa","Africa other","Caribbean","South America","Other Middle East","Other East Asia","Other Europe","Rest of World","England","Scotland","Wales","Northern Ireland","Australia","Canada","New Zealand","Kenya","Zimbabwe","Nigeria","Bangladesh","India","Pakistan","Hong Kong","Malaysia","Singapore","France","Germany","Greece","Italy","Netherlands","Spain","Poland","Romania","Turkey","United States","Iran"
1991,"5601AD",0,0,4,0,0,1,0,1,0,0,2,2,180,819,2,0,2,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0
1991,"5601AE",0,0,1,0,2,2,0,0,0,0,1,0,194,797,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0
1991,"5601AF",3,0,15,0,4,9,3,3,3,1,6,9,1530,4803,24,26,14,11,0,4,1,0,0,5,0,2,0,1,1,20,0,2,6,0,8,2,0,7,0
1991,"5601AG",1,0,12,3,5,0,1,0,2,0,8,1,874,1736,6,5,5,2,0,1,0,0,0,3,2,0,2,0,0,11,0,2,7,0,0,0,0,2,0
1991,"5601AJ",3,0,25,0,3,2,1,2,2,2,16,11,2000,4645,33,35,7,8,5,1,0,0,0,5,3,7,0,5,6,29,0,1,3,0,5,0,0,9,0
1991,"5601AK",0,0,3,0,0,2,0,2,1,0,5,1,533,474,3,5,1,1,0,0,1,0,0,3,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
1991,"5602AE",2,0,21,0,1,6,0,1,0,0,15,4,358,4558,7,23,3,10,0,1,7,0,0,6,0,11,2,3,2,15,0,14,0,4,22,0,0,7,1
1991,"5602AF",3,0,17,2,1,9,2,0,0,0,15,7,539,5455,14,41,4,17,1,0,3,1,1,6,0,2,1,7,4,17,0,3,0,1,15,1,0,4,0
1991,"5602AG",0,0,17,5,1,7,2,0,1,6,10,4,532,3799,20,32,3,2,0,1,2,0,0,6,0,4,2,0,3,17,1,3,2,2,13,1,0,15,1
1991,"5602AH",3,0,4,1,2,3,0,0,0,0,3,0,357,1733,5,10,7,0,0,2,1,0,0,0,2,2,1,0,4,7,0,0,2,0,2,0,0,0,0
1991,"5602AK",1,0,7,2,0,1,1,0,2,0,0,1,200,1758,5,4,0,2,0,4,0,0,0,4,0,2,1,0,2,4,0,0,1,0,2,0,0,0,0
1991,"5602AN",1,2,15,1,15,13,2,0,1,0,11,2,627,2815,23,16,5,6,2,4,2,2,0,15,3,6,2,1,1,13,0,5,0,1,7,1,0,1,0
1991,"5602AP",0,0,13,2,1,5,0,4,2,0,2,2,470,2430,20,16,5,3,4,2,0,0,0,8,2,0,4,1,2,8,0,1,0,0,5,2,0,3,0
1991,"5602AQ",0,0,14,1,0,5,0,2,0,0,8,2,466,4046,14,24,1,14,1,1,7,0,0,3,1,3,0,2,1,12,0,2,1,0,9,0,0,7,0
1991,"5602AR",4,0,15,1,5,4,0,0,2,2,8,1,412,2277,13,18,2,1,0,0,3,0,0,2,2,0,1,2,0,11,0,0,2,0,1,0,0,3,0
1991,"5603AC",1,0,10,1,3,4,0,0,4,2,5,7,850,5063,16,19,8,14,7,1,3,0,0,9,0,3,0,3,2,18,0,11,0,0,5,0,0,11,0
1991,"5603AD",2,0,7,0,2,7,2,1,0,1,6,5,782,2618,10,14,5,4,4,4,2,0,0,6,1,1,0,3,2,4,0,3,0,0,1,0,0,9,2
1991,"5603AF",1,2,25,0,5,6,2,1,0,0,5,5,1023,4712,15,46,7,8,4,0,7,0,0,8,0,4,2,1,2,30,0,4,2,2,7,0,0,8,0
1991,"5603AG",0,0,14,0,2,7,0,0,0,0,6,4,428,3782,14,20,2,4,3,0,1,0,1,5,3,1,0,0,1,13,0,0,2,2,6,0,0,10,0
1991,"5603AH",2,0,13,1,2,6,2,2,2,2,14,2,748,5086,27,37,4,5,5,0,4,0,0,4,0,3,2,5,1,32,0,2,7,0,8,0,0,11,0
1991,"5603AJ",0,0,12,1,3,3,0,0,0,0,7,4,392,4214,22,22,2,2,4,1,0,0,0,4,0,4,1,2,1,18,0,5,1,0,3,0,0,5,2
1991,"5603AK",0,0,13,3,4,3,0,1,2,0,6,2,875,3736,9,18,5,6,0,1,0,0,0,3,3,4,2,0,4,7,0,1,1,0,4,0,1,4,0
1991,"5604AD",3,0,6,0,0,0,0,0,1,0,8,6,426,3044,16,20,3,2,0,0,1,2,0,3,8,1,1,2,0,6,0,2,0,0,19,0,0,5,0
1991,"5604AE",0,0,19,1,8,7,4,3,1,3,18,7,576,4187,17,40,3,7,8,0,2,0,0,8,3,3,4,3,9,14,0,10,3,3,11,0,1,15,1
1991,"5604AF",1,1,16,2,2,8,1,2,0,3,4,5,458,2749,19,21,5,8,7,7,1,0,0,6,0,4,2,2,2,5,0,4,2,1,3,1,0,7,0
1991,"5604AG",0,0,10,2,4,9,7,3,4,1,8,3,664,2507,15,25,7,8,8,6,1,0,0,11,5,4,3,2,4,11,0,0,12,0,0,0,0,13,4
1991,"5705AC",0,1,19,2,5,4,0,5,1,1,7,3,221,4596,13,24,7,2,2,0,0,0,3,2,1,7,0,4,2,12,0,2,1,0,8,0,1,3,0
1991,"5705AD",6,0,41,8,14,8,8,0,3,0,20,9,704,12080,48,51,5,10,3,9,3,0,2,10,19,14,11,2,3,37,1,9,0,4,30,0,1,15,0
1991,"5705AE",0,0,24,0,5,8,2,1,1,0,5,10,354,8145,13,40,1,11,1,1,1,4,0,7,5,1,0,3,2,22,1,2,0,0,20,0,0,10,1
1991,"5705AF",1,0,5,0,5,4,0,0,0,0,1,3,179,3296,6,16,1,3,0,0,0,0,0,0,19,0,0,0,0,7,0,1,0,0,2,0,0,2,0
1991,"5705AG",0,0,3,0,2,0,1,0,1,0,5,2,185,2017,8,18,6,4,2,0,1,0,0,5,0,0,2,0,0,8,1,2,0,0,2,0,0,2,0
1991,"5705AH",4,0,16,1,2,8,6,0,2,4,12,6,418,4615,17,24,8,12,0,0,4,0,0,6,12,0,0,2,0,8,0,2,5,1,2,0,0,3,0
1991,"5705AJ",5,0,14,1,15,2,1,1,0,2,5,2,454,5574,23,24,2,11,2,5,0,0,0,6,12,6,0,4,0,15,0,1,5,1,9,0,0,4,0
1991,"5705AK",1,0,18,4,14,8,8,12,11,6,10,8,770,2574,36,20,8,12,10,4,0,2,2,13,3,4,4,2,5,22,3,2,3,1,0,0,0,4,0
1991,"5706AB",0,0,3,0,2,2,1,0,0,0,0,1,83,1288,2,3,3,0,1,0,1,0,0,1,0,0,0,1,0,5,0,0,0,0,2,0,0,3,0
1991,"5706AC",2,0,8,1,7,8,2,0,4,0,4,5,344,7004,26,32,4,8,2,4,0,0,0,2,5,4,3,2,1,26,0,0,1,1,0,0,0,10,0
1991,"5706AD",5,0,15,2,19,2,0,2,0,1,2,9,392,6604,32,28,4,7,4,2,1,0,0,2,10,9,0,6,0,25,0,2,0,2,4,0,0,4,0
1991,"5706AE",0,0,17,2,1,4,3,0,0,1,7,1,148,2799,5,9,1,9,0,0,1,0,0,2,3,6,0,0,0,2,0,3,0,0,21,0,0,7,0
1991,"5706AF",0,0,13,2,3,7,0,3,7,1,2,7,392,7444,22,43,6,5,1,0,2,0,0,2,29,4,0,0,3,17,1,4,0,0,7,0,2,2,0
1991,"5706AG",0,0,4,1,0,0,1,0,0,0,1,4,75,1855,4,14,2,2,0,0,0,0,0,2,0,4,1,1,0,7,0,0,0,0,0,0,0,1,0
1991,"5706AH",0,0,38,0,5,14,0,8,1,0,7,1,345,7504,17,28,3,5,0,1,0,2,2,3,1,1,0,3,1,20,0,5,0,1,20,0,0,8,0
1991,"5706AJ",0,0,24,0,4,16,0,1,3,0,2,6,416,6715,28,30,9,12,1,1,7,1,0,11,1,6,0,4,1,14,0,9,3,1,11,2,0,9,2
1991,"5706AK",1,1,41,2,3,25,1,0,1,0,14,11,387,8091,15,24,8,7,1,5,2,1,0,2,12,12,0,6,0,14,0,4,2,4,23,0,6,6,0
1991,"5706AL",2,0,17,0,3,6,0,1,3,0,1,4,222,5793,15,23,5,11,2,0,2,2,0,3,0,8,1,5,0,12,0,5,3,2,11,0,0,3,0
1991,"5706AM",2,0,46,0,3,9,0,1,0,0,15,5,346,9782,8,32,6,10,2,0,0,0,0,4,11,6,1,2,3,22,0,1,6,2,30,1,0,6,0
1991,"5706AN",1,0,29,2,14,12,0,1,5,2,12,5,679,11249,32,37,3,17,1,0,7,0,0,18,18,9,1,2,1,26,1,3,3,1,19,0,0,7,0
1991,"5706AP",1,0,36,1,5,2,0,1,1,0,37,5,259,7502,20,31,8,6,2,1,1,0,0,8,7,2,0,4,0,16,0,9,2,0,11,0,0,2,0
1991,"5706AQ",0,0,16,0,4,3,0,0,5,1,7,1,233,4661,19,10,9,5,1,1,1,0,0,4,8,7,0,0,1,9,0,1,1,3,5,0,1,5,0
1991,"5706AR",0,0,21,0,0,0,0,0,3,0,5,6,205,5411,9,20,6,8,0,0,0,2,0,2,2,1,5,1,0,7,1,5,0,1,1,0,0,4,0
1991,"5706AS",3,0,41,0,3,2,2,1,3,0,2,2,299,8174,8,29,3,7,1,0,1,0,0,2,8,8,0,4,1,14,0,9,1,0,6,0,2,4,4
1991,"5706AT",2,0,15,0,6,1,0,0,2,0,2,2,63,1869,1,11,1,2,2,0,1,0,0,2,1,1,0,2,0,9,0,0,1,0,8,0,0,1,0
1991,"5706AU",2,0,13,0,4,2,0,0,0,0,2,2,199,4443,12,18,1,2,3,0,0,0,0,6,5,2,0,2,3,11,0,1,1,0,5,1,0,7,1
1991,"5706AW",2,0,52,1,14,8,0,0,4,0,12,8,445,10815,17,59,7,11,1,0,1,1,2,11,15,6,0,3,0,19,0,5,2,2,12,0,2,6,0
1991,"5706AX",2,0,18,1,0,3,1,4,4,0,3,10,310,7319,11,22,5,5,0,0,3,0,1,12,14,6,1,0,0,10,0,1,0,0,7,0,0,6,0
1991,"5706AY",0,0,16,0,2,2,0,0,0,0,2,3,226,5122,15,15,3,3,0,2,0,0,0,6,27,2,0,2,3,15,0,3,0,0,15,0,0,2,1
